
#RHS_Norm_value_comparison_Linf.dat for LInf norm values
#Here system_rhs vector LInfity norm values with and without rhs assembly optimization are compared
#Absolute error between these 2 LInfty norm values is taken

#rhs LInfinity norm
Cutoff	AbsErr{LInfity}
2.00	0.000000670400
2.25	0.000000670400
2.50	0.000000670400
2.75	0.000000670400
3.00	0.000000232210
3.25	0.000000032030
3.50	0.000000032030
3.75	0.000000001550
4.00	0.000000000000
4.25	0.000000000000
4.50	0.000000000000
4.75	0.000000000000
5.00	0.000000000000
5.25	0.000000000000
5.50	0.000000000000
5.75	0.000000000000
6.00	0.000000000000

